,tweet
9189,I hate bitches that fish for compliments
9190,I hate bitches that have attitudes all the time
9191,"I hate bitches that wear those fake ass ray bans, they're only $100 stop being cheap."
9192,I hate bitches who thinks everyone wants their nasty ass like no &#9995; you're not cute &#128530;
9193,I hate bitches with bad eyebrows
9194,I hate bitches with thick eyebrows
9195,I hate bitches. Thirsty ass bitches
9196,"I hate drinking by myself. Everyone's so fucking boring now. Fuck you guys, I'll be fun by myself pussies &#9996;&#65039;"
9197,I hate dumb bitches
9198,I hate fat bitches
9199,"I hate females that push their asses out as they walk. You know you look like a retarded Flamingo, right?"
9200,I hate ghetto bitches with a passion..
9201,I hate going to parties where really fat bitches go and act like theyre the shit because theyre at the party. Like damn Nessie im here too
9202,I hate hoes
9203,"I hate hoes who be looking all nice nshit with their hair and nails done, but they kids look like they BARELY survived a tornado"
9204,"I hate how girls bitch about 

E V E R Y T H I N G"
9205,I hate my dog's name.. It sounds so ghetto. &#128528;
9206,"I hate people who talk loud, ignorant ass mother fuckers and ghetto people."
9207,I hate pretty bitches that chill with lame niggas
9208,I hate pulling into stores. Niggas be staring like they never seen a bitch drive a car with rims and a system. .
9209,I hate pumpkin flavored items you other white bitches are crazy they're nasty &#128567;
9210,I hate ratchet country hoes I'm ashamed
9211,I hate self-rightous Black bitches.
9212,I hate self-rightous bitches in general but my people really get on my fucking nerve sometimes.
9213,I hate stupid bitches who cry for stupid reasons
9214,"I hate takin out the trash, I always be expecting a big ass dog to be in the alley or like a raccoon to jump out the dumpster"
9215,I hate texting boring bitches
9216,I hate that hoe ... She ain't bout shit
9217,I hate that hoe oml &#128074;&#128074;&#128074;&#128074;&#128545;
9218,"I hate that my mom says she trying to move out here... Like bitch the only reason your ""trying"" is because you don't have a place to live.."
9219,I hate that one random tear that comes out when you haven't blinked &#128560;like nigga stop being a bitch &#128162;
9220,I hate that wee boy wae the squinty eyes in the game of thrones. #Suchaprick #hopehegetskilled
9221,I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.
9222,"I hate the f-ing bus, I hate the f-ing bus, high ho the dairy-0 I hate the f-ing bus!"
9223,I hate the ghetto trash at the special school across the street from my building. All of them will grow up to be criminals.
9224,I hate the white trash cops who raped and murdered my infant daughters and son.
9225,I hate these hoes that look thick from the front them she pass u &amp; her ass be missing
9226,I hate this cookie built bitch &#128514;
9227,I hate those kids in your class that are always complaining and just being a bitch/douche to the teacher
9228,"I hate tht hoe I make it SO hard just to talk, dont I? I get off topic, Dont I??
 I get it poppin, Dont I? I'll end up stoppin, Wont I?"
9229,I hate twitter. Just a bunch of sexy bitches I can't have
9230,I hate txtn this niggah man lol @YR_Killem
9231,"I hate when I see a thick bitch on Instagram, then she show up looking like a teddy graham."
9232,"I hate when I upload a pic with a caption that says ""me and my son"" and someone asks ""omg is that your son?"" ...No bitch I found him outside"
9233,"""You're so pretty"" ""No I'm not, I'm ugly"" ""WELL SHIT, YOU UGLY THEN, DAMN....."
9234,I hate when a bitch got fucked up teeth and she trynna smile in her pictures tf lmfao
9235,"I hate when a girls all ""I'm single and I do single shit (be a lil thottie) cuff me if you have a problem"" like bitch I'll RKO your ass"
9236,"I hate when bitches ""been thinking"" smh"
9237,"I hate when bitches be like ""I love him so much 11/2/2012&lt;3!!!"""
9238,I hate when bitches get lame &#128078;
9239,"I hate when bitches keep saying ""yassss like"" like bitch u sound stupid stfu"
9240,I hate when bitches only wanna talk to me is when their bf breaks up with them or theyre on break with their bf. No nigga. Fuck out my inbox
9241,I hate when bitches post pictures with other cute bitches and don't tag em in it. That's low key very selfish as fuck
9242,"I hate when bitches say ""bro"" and ""bruh"""
9243,"I hate when bitches think you expect something in return for buying them a cheap ass gift or food. This is MY life, let me live!"
9244,I hate when bitches try to talk shit with chipped nails
9245,I hate when black people try and be white so bad ... Your a nigger
9246,I hate when cute ass girls have wack af boyfriends like bitch youre settlling. Quit your settling and be with a real nigga
9247,I hate when females try to sound like bird heads
9248,"I hate when girls say ""I'm single but my heart is taken"" bitch, that nigga don't love you, hoe. Move on."
9249,"I hate when girls say ""I'm single but my heart is taken"" bitch, that nigga don't love you. move on !!!"
9250,"I hate when girls say ""forever alone"" like shut up your ""forever a hoe"" not forever alone so shut up before I get your dick breath on me"
9251,I hate when hoes try to play the wifey roll
9252,"I hate when hoes tweet about ""hoes""...? Okay, that aint hypocritical"
9253,I hate when i see a cold hoe tryna kick knowledge
9254,I hate when my best friend gets a new bitch and barely chills with me
9255,I hate when niggas come up to me and tell me they got this bitch off twitter or got her and it be a bitch I fuc wit lol smh
9256,I hate when people ask if I shoot up!! I don't need that pussy shit to be bigger than you unswole niggas&#128075;
9257,"I hate when people call me ""mate"". Were not in England you fucking twat"
9258,I hate when people have terrible coping skills and complain too much. Oh your mom died? How about you stop being a pussy.
9259,I hate when people just randomly stop talking to you like give me a reason bitch
9260,I hate when people organize plans and you end up reaching the destination before them...bitch don't ask me if I'm here
9261,"I hate when people tell me I have to many tattoos, and they make me look ugly. Like bitch fuck you"
9262,I hate when people tweef and then delete the tweets. like yalls some hoes for that . I'm trying to read them
9263,"I hate when ppl break up a fight like idc if they best friends, sisters, whatever let them bitches fight ctfuu"
9264,"I hate when ppl come to my house and make a mess in the bathroom, like bitch do I come to your house and play in the sink? noooo"
9265,I hate when those little white kids try and act black. Like bitch YOU ARE WHITE
9266,I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.
9267,I hate yal I'd delete my twitter if I had somethin better to do bitch ass niggas
9268,I hate you niccas! Lol http://t.co/NqSYeQhGOZ
9269,I have 0 hoes &#128588;
9270,I have a bitch face and a bitch voice to match it so its kinda hard making friends.
9271,I have all these EXTRA ASS unnecessary clothes &amp; cay wanna act like a lit hoe.
9272,"I have better things to do, like drive my yellow fucking Lamborghini"
9273,I have finally come to terms with the fact I am at my highest bitch level when I don't eat! #needaSnickersanda2piece
9274,"I have my work done a day after i get it, and everybody else be Scramblin' on Sunday. this the day of rest bitches.."
9275,I have no clothes that make me look like a redneck but I tried my best &#128514;
9276,I have no hoes man. I don't need those though &#128564;
9277,I have no respect for people who cheat that shits just retarded
9278,I have officially earned my right to bitch about things for the next two years! Yay!
9279,I have one more day of fucking school. God nansemond is fucking retarded
9280,I have such a horrible perspective of time. I think I might be retarded smh
9281,I have them bitches runnin wen dat pipe come DAMN
9282,I have to hide these bitches or my sister gets them and eats all of them &#128520;
9283,"I have to stop using ""bitch"" so often in my everyday conversations"
9284,"I have to tell you a secret,
""your a stupid hoe"""
9285,I have yet to understand why so many bytches getting the bull piercing? It's called a septic or something like that ...
9286,guys who refer to women as bitches are so ugly to me lmao u disgust me
9287,I heard bitches commit sins for Chipotle
9288,"I heard rumors of a vile, hideous, traitorous bitch named Pelosi parading around w/ illegal aliens while Vets get the shaft. #bloodboiling"
9289,I heard she pops pussy on the low
9290,I heard them same pussy niggas hatin !
9291,I hit raw while im listening to papoose
9292,"I honestly don't understand why men love to bash the women that make them feel good. ""She sucked my dick soooo goood. She a ho!"" -__-"
9293,"I hope i trip and fall into some pussy, tunechi"
9294,Aye... whr da hoes at..????
9295,I hope you all accidentally get a fat black bitch pregnant
9296,I hope you get eye cancer bitch.
9297,I hope you realize that your both retarded
9298,"I hope you wrapping it up! Give that pussy a break! All them niggas you fuckin, never been on a date &#128553;"
9299,I impress da young white girl next doe by taking out my giant negro thang and usin it to flip da hamburgers for da #KoolQueefTribute&#160;
9300,I jus wanna live good stay fresh and fuck bad bitches! &#128076;&#128175;
9301,"I jus wanna smoke, rub on a bitch booty n bump ""These Days..."""
9302,I jus wanna watch this last episode of orange is the new black but Netflix jus wants to be a bitch &#128530;
9303,I just be chillin tho .... I don't fuck w/ hoes or hoe niggas so I don't know about how they operate ... Maybe I'm wrong
9304,I just be fucking these bitches these niggas be cuffin these hoes
9305,I just bitch slapped my brother
9306,I just bought a Bentley and a bitch came wit it
9307,I just can't date a ghetto ass girl bruh
9308,I just can't imagine myself being albino haha
9309,I just caught this fat bitch slippin taking a selfie
9310,I just cracked my motherfuckin phone god damn I feel like punching a bitch in the motherfuckin throat
9311,I just dodged a bullet from a crazy bitch
9312,I just don't get why none of you people talk back to me..i guess you follow me for the #s in hopes I follow back but shit. talk to a cracker
9313,I just fell in love. Just saw the baddest bitch driving a 2014 e350 amg coupe &#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;
9314,I just fucked an albino. It was weird because it was like a white body impersonating a black voice....... like Iggy Azalea
9315,I just getting started oh ya we got it bitch.
9316,I just got so hype haha lets go!!!! Beat the shit out dat pussy ass niqqa
9317,"I just heard my mom go ""she is up"" v annoyed bitch the fuck you expect I slept for how long and now I'm hungry bye felecia"
9318,I just herd the most random and. Creepiest sound.... Da fuck is going on outside my windows... I'm not looking out that bitch.
9319,"I just love that ""tweaking hoe tweaking hoe song that's the only part I no &#128584; wee be getting money so we ball out some sme sme"
9320,I just might get to these riches I might go broke on these bitches
9321,I just need to know what that pussy like so one time is fine with me - drizzy lol
9322,"I just read prolly 11 tweets from 11 different girls about how their looong relationship ended today.. Daaaamn.. ""Yo hoe will get SLAYED"""
9323,I just seen a hit bitch call a hit bitch ugly .. that shit be funny ctfu
9324,I just seen the ugliest bitch in commercial history on Monday night football
9325,I just seen your main bitch I might fuck with her
9326,I just touched down on that pussy
9327,I just wanna fuck bad bitches
9328,I just wanna get lifted &amp; fuck exotic bitches!
9329,I just wanna slap a couple of y'all bitches
9330,I just wanna slit this mf throat
9331,"I just wanna touch da bitch, fuck da bitch, Like a bud don't trust the bitch."
9332,I just wanna travel the world with my bitches &#128553;
9333,I just want a girl that'll be a hoe for me that's all
9334,I just want some Oreos &amp; milk honestly. Just stop by the store &amp; pick up some on your way back lol
9335,I just want the bad hoes and I wanna reach the children
9336,I just want to beat the fuck out of everyone that stares at me like bitch STAHP
9337,I just want to punch you in the throat when you get my order wrong stupid bitch at sonic
9338,I just wish I had a girlfriend to come home to after a long night of fuckin wit bitches in the club
9339,I just wish some females would look in the mirror b4 they hop on social networks &amp; talk down on hoes.
9340,"I just wrote a dawg ass essay, &amp; was working on the bibliography &amp; my laptop froze. Im kill a bitch if it gets lost, cause I hadnt saved it."
9341,I keep seeing hoes call other hoes..hoes I be confused
9342,"I keep the baddest hoes, stay fresh from head to toe"
9343,I keep these hoes in check until they bounce
9344,I knew a New Orleans nig would say something crazy lol
9345,I kno it's upside down cunt http://t.co/qF0EXo9m5O
9346,I know I talk a lot of shit but bitch best believe I can back that shit up.
9347,"I know I'm a hillbilly, but is there anything better than a big pot of beans and cornbread? Little hot sauce on top."
9348,I know If I don't move out by next year my mom gonna bitch at me the whole time I live with her
9349,I know OG niggaz and bitches
9350,"I know Outback when I see Outback, hoe."
9351,I know a lot of using ass hoes that just want bread an wheels from nigga go grind bitch&#10071;
9352,I know bitches be mad as shit when they friends borrow their clothes &amp; its a bunch of girls in her IG comments sayin how cute the outfit is
9353,I know bitches who sell pussy for 3.5's
9354,"I know how it feels to not have shit, believe me. I was born in the heart of LA. It don't get anymore ghetto than that"
9355,I know im not the only niggah that saw that
9356,I hate fat loud bitches
9357,"I know shit about everybody , I just don't care enough to speak on it but I suggest you bitches watch it forreal ."
9358,I know some ratchet bitches and they rep the North side
9359,"I know that karma too real, so I hope you doing cool.. but still stupid ass bitch, I ain't fuckin' w you."
9360,I know that karma's too real so I hope you doin' cool.. But still stupid ass bitch I ain't fuckin' with you.
9361,I know these hoes
9362,I know these niglets heard me screaming &#128514;&#128514;
9363,I know this one hoe on twitter right now that's catfishin shit !!!!!
9364,"I know when Woods, Kofi and Big E were forming up, R.Truth was like ""Ain't that a bitch"" #FROhorsemen"
9365,"I know when bitches discuss me in a group message the words ""asshole"" ""cute"" and ""douche bag"" are abused excessively"
9366,I know yall bitches tell yall selfs #WWHD what would hustlelinaa do &#128514; cuz yall asses stay following me &#128527;
9367,I know you bitches is hating on the low. Why me tho? Its way more niggaz in this world that can afford it.
9368,I know you seeeeen my faceeeee gon send a bitch maa wayyyy
9369,I knows y'all white folk only be playin wit me. I colored and I knows my place
9370,I knw these bitch niggas frm way back... if u was ah pussy in 2000 u ah pussy now!!!
9371,I l8v3 fuckin wit this nigga he getting all emotional he remind me of my bitch is that you Blake (50&#8230; http://t.co/vJCf0R6thU
9372,I laugh at this bitch
9373,"I learned that every bad bitch comes wit mood swings just like mortal kombat, Liu Kang, so true mane"
9374,If u got two hoes u need to let one go
9375,I let hoes make it too much
9376,I lied the fair isn't the only place Reno girls dress up like cowgirl sluts NITC hash tag bitches
9377,I like Chinese buffets but I hate all the chinks
9378,I like a cool bad bitch. She know she sexy but her attitude is like ehh whatever &#128533;&#128530;
9379,I like a hoe that like a hoe just for my amusement
9380,I like all the kids on beyond scared straight acting like they are hard ass gangsters end up leaving balling their eyes out like bitches lol
9381,I like bad bitches cause they like bad bitches too
9382,I like bad bitches cause they like bad bitches too &#128525;&#128525;&#128536; hay stunna http://t.co/rN0vRZfL6l
9383,I like bad bitches thats my fucking problem
9384,"I like beamers benzes and porches, i like my bitches imported"
9385,"I like being teased, dont give me the pussy too fast"
9386,I like bitches that like bitches
9387,I like bitches with &#128184;
9388,I like chilling with your bitch and I like fucking her.
9389,"I like good weed, I like bad bitches that can roll it.."
9390,I like herbal tea bitches no matter if anyone else does.
9391,I like how cays mf ass favorited my tweet but didn't text me bacc &#128514; hate that hoe.
9392,I like how niggas try an come at me and im like do it then bitch and they dont do shit. Pussies
9393,I like it when you call me McSully I like when bad bitches pour honey on my silky body it's not even the 90s
9394,"I like it. Folks act like the word ""negro"" is the equivalent of porch monkey or spear chucker. It's not. No real&#8230;"
9395,I like my bitches bad wit a Lil attitude
9396,"I like my bitches simple 
laid back relaxed your mental http://t.co/xyNGDzLDRb"
9397,"I like my seat down low and my window slightly cracked, riding wit a bad hoe wit her girlfriend in the back"
9398,I like saying the word pussy hoe ion no why!!!
9399,I like taking niggas hoes but I stop doing that &#9995;
9400,I like to butt fuck fine ladies. Will I choke hold a bitch? Well maybe #55
9401,"I like weed brownies and cookies, im straight but seein crooked, got muh trippy kit hope i trip and fal into some pussy #tunchei"
9402,"""I can rest my balls on your forehead"""
9403,I literally just looked bc this kids a pussy..
9404,I live in the fast lane bitch
9405,I look better on your bitch than her outfit on my floor @justinmiculka01 #myboy
9406,I look like Denzel when I tilt my head to the side too bitch
9407,I looked retarded
9408,"I lose OVO followers every year. 100 bitches unfollowed me because of my ""Hold On We're Going Home"" rants. A HOE ATHEM is a hoe anthem"
9409,I lost all my respect for my brother cause you acting like a straight up bitch
9410,"I lost it. ""you think you're too good for me? you paper bitch!"" and I fell on the bed and I fell off the bed and I slept on the floor."
9411,"I lost partners , bitches , money... But I never lost my mind"
9412,I lost something more important than myself last year so EXCUSE ME for being a little selfish bitch &#9996;&#65039;&#128530;
9413,I love Asian bitches
9414,I love German. I wish Nansemonds bitch ass had it
9415,I love a bitch with racks of her own
9416,I love all my bitches. And Im ridin for all my bitches no matter what.
9417,I love all people for who they are but there's this one fag that goes to my school that can catch a ninja star to the face ASAP
9418,I love bad bitches &#128525;&#128525;&#128525;
9419,"I love bad bitches it my fucking hobby, and yeah they're on all fours like a fucking doggy.."
9420,I love bad bitches that's my fuckin problem.
9421,I love bad bitches thats my fuckin problem forreal real shit i cant even help it
9422,"I love faggots!!! Absolutely love them, especially the ones that can dress to the tea &#128525;&#128525;&#128129;"
9423,I love fat bitches
9424,I love fat bitches. That's my fucking problem. @RooDee_Poo
9425,I love flirting with money don't no other bitch get my time or my eye&#128527;&#128527;
9426,I love fuckin wit people. I be givin greedy ass nigas old as crackers wit expired cheese dey be callin me like&#8221; nigga im shittin likea goose
9427,I love going to @Walmart and looking at #guns with my wife. We talk about them in Spanish as the rednecks stare at us and reconsider #2A.
9428,I love how Everybody bitches about heat fans when we win but if they lose all the haters are 10x more obnoxious
9429,I love how bitches be talkin how the single life is the best life then bitchin and complaining how they need a boyfriend #WTF
9430,I love how hoes be like omg warped tour yayyyyy #gaaaaaaaaaaaay
9431,I love how my brother actually tries to understand his girl and see her point of view when they argue instead of being a bitch about it .
9432,I love how people use twitter to just bitch an complain #fuckyou
9433,I love living in Minnesota. The weather is bad enough for people to bitch about it but we don't have anything serious. Stay safe east coast
9434,"I love me some fresh pussy, all you can eat buffet."
9435,I love money fuc a bitch I won't stress myself !
9436,I love my haters they my biggest fans... I'm on the field dem bitches in the stands!!!
9437,I love these stupid holiday commercials... you thought you were going to get a car? Nope bitch you got an ugly ass sweater
9438,"I love this bitch , he's dear to my heart."
9439,I love this ho @nerissaloren http://t.co/I5obSnjj
9440,I love to eat pussy! #love #investment
9441,I love to feed the pussy
9442,I love when girls pass up the guys who want Something real and to treat them right for the guy who just uses em cuz then they bitch about it
9443,I love when my friends let me use their phones to stalk the bitch that blocked me on Facebook.
9444,I love when my mom goes to the grocery store until she gets home and I have to carry it all in. Then it sucks monkey nuts
9445,"I love when people bitch about athletes being payed to much.

Like they'd turn down millions

What the fuck ever!"
9446,I love when the pussy smacking an it sound like u mixing spaghetti&#128541;
9447,I love you my nigguh but your a grown ass man https://t.co/utZj6I5Uhj
9448,I loved her as much and as long as I could ma niggah .
9449,I made ya bitch sicc wit that one &#128514;
9450,I made you bitch
9451,I make bitches fly like Peter Pan do
9452,I masturbated into the lingerie catalog out of spite. how dare she throw it in the trash before I get to look at it!
9453,I mean I like to get nasty but tooting my ass up in a bitch face ain't in my freaky zone
9454,"I mean if a bitch whilin out, she gone get knocked tf out"
9455,"I mean if she a cunt, then she a cunt. It happens."
9456,"I mean most ppl confuse when to use ""to"" and ""too"", this nicca used the word ""two"" when he should've used ""to"" &#128530;"
9457,I mean we can get married. As long we can sign a prenuptial agreement. It's 2014 bitch.
9458,"I mean. I guess I start using this again, since faggot Facebook blocked me for saying mean things to lady gaga"
9459,I meant bitch niggas
9460,"I might freak the bitch, but dont need the bitch&#128080;"
9461,I miss Britt god damn bitch real nigga over here baby &#128129;&#128526;&#128588;&#128581;&#128175;&#128079;&#128584;
9462,I miss having Jihadist bitches in my crosshairs... Ahhh the good ol days...
9463,"I miss her but I can't bitch I was the one who fucked up, whatever"
9464,I miss my fag friends
9465,I miss my flip phone .. That bitch never died
9466,"I miss you being a wee cheeky cunt to me, sad times #missAbby"
9467,I missing something of my ofay friends. Day all scared by da recent happenings. Don't chu worry...ol Lamar say you like da colored folk
9468,I moved that niggah anyways.
9469,I must be a bitch
9470,"I must have pissed this nigga off aha um, because he my hoe &amp; he acting OUTTA line &#128514;&#128557;"
9471,I name my niggas after nba playersmy nigga larry bird is a strait fuckin#shooter
9472,I named my dick the truth Cuz bitches can't handle it lmao
9473,"I named my penis ""The Truth"" because bitches can't handle it."
9474,I need a Belgian waffle and a couple bad bitches
9475,I need a bad bitch thats gon treat me good
9476,I need a bitch
9477,I need a bitch &#128533;
9478,I need a bitch to drop it down for me lol
9479,I need a bitch to go down like I need a beat
9480,I need a bitch to top me till I get sleepy &#128564;
9481,I need a girl from Jamaica I can't fuck with these basic black bitches
9482,I need a heated bra because my nips hurt so bad!
9483,I need a new bitch
9484,I need a trippy bitch I ain't wit that cute shit
9485,I need me a bitch
9486,I need me a real loyal ass bitch &#128525;&#128553;&#128530;&#128548;&#128175;
9487,"I need one of those ""research"" street signs near usaa . Hang that bitch above my bed lol"
9488,I need sleep but can't seem to get that place that let's you clam down and sleep :(
9489,"I need some good pussy, fuck"
9490,I need some new hoes
9491,"I need sum hoes ah sum, cuz I wake up all I have is hella emails &#128557;&#128299; but not a Goodmoring or goodnight text. Shit not even a single text &#9995;&#128529;"
9492,I need to change myself first. Im retarded as fuck
9493,I need to chat with @SpaceJam_Teeg . Where dat nicca at? Lol
9494,"I need to jump in the shop on fritag for 72 beers, hate looking like 20 odd.. I need to get 120 fags tae, going to look like a junkie"
9495,I need to re up on some hoes
9496,I need to stop being a little bitch lol
9497,I never had any friends the entire time I lived in #Virginia. No one was cool to me. I hope those white trash Southerners all die.
9498,I never played a bitch... But bitches most definitely played they self
9499,I never put no hoes b4 my bros
9500,I never seen a Asian or Chinese bitch pregnant ..shit I throught they kids just spawn like call of duty &#128514;&#128557;
9501,I never thought you could irritate me like. Please stop being a fucking bitch. Surprised your boyfriend puts up with you. #stupidspecs
9502,I once tried to be everything this bitch said she wanted in a man... That shit didn't get me anywhere.
9503,I only bring up lat name to the hoes I know with kids because they need to know
9504,I only fuck with bad bitches I'm stiff
9505,I only like women who&#8217;s pussy smell like burnt cheese
9506,I only respect bitches that respect theyself.# truu
9507,I only wanna see bad bitches on snap chat
9508,I ont care cuz I got hoes. Dats rite I got plenty of em
9509,I ont like no dramatic bitch so I just separate myself n shit
9510,I ont like that game wit that retarded ass bird &#128530;
9511,I openly admit to being the level of white trash that will drive across town to the gas station with free hot dogs &amp; half price drinks.
9512,"I ordered 8 chocolate chip cookies &amp; this bitch gave me fries smh , I couldn't even take the shit back because I was gon be late for work"
9513,I phone 6 cool but basic I'm girly bitch so dry n plain &#128553;
9514,I picked Welbeck for my team. I have to be some kind of cunt yes
9515,I pictured Angus running up the side of FOB Sharana with every day in Afghanistan @ReturnTo1776 http://t.co/zj1MK6w7EF
9516,"I plan on eating this entire motherfucking pizza I just ordered like a mufucka, bitch."
9517,I prefer Jameis Winston to not speak on TV at all. Damn coon.
9518,I pull hoes tx.
9519,I pull up in a gimme yo bitch
9520,I put her pussy on the map!!!
9521,"I put it ona bitch make her bang ma set &#128076; I gave this hoe dick , I came I left &#9996;&#65039;"
9522,I rarely drink so drunk bitches irritate me
9523,I realized Tacal is a bitch
9524,I really am always there for my bitches and they know that &#128175;.
9525,I really be baggin bitches with no problem in basketball shorts b I don't know if it's my smile or my cologne or maybe it's just my swag idk
9526,I really can't stand while people slander shit 90% trash
9527,I really committed to fucking with the richest of bitches
9528,"I really don't be pressed for bitches on social media...

Do I talk to them? yes. 

Do I want them..... http://t.co/6wKvVpsXqP"
9529,I really don't like that nigguh Paul tho
9530,I really get upset when my lightskin friends have another cute dark skin sidekick..like Im supposed to be the only cute darkie u hang wit &#128545;
9531,"I really hate a fat bitch cause I'm bony ,love smoking hella Swisher's when I'm feeling lonely (try me)voice &#128557;&#128557;"
9532,"I really hate being a bitch to people, but at this point I no longer give a fuck"
9533,I really hate when I don't get a response back to a text message. Like a bitch ain't see it or sum &#128545;
9534,I really hope you and Cameron don't get back together you can do so much better than that ... &#8212; dont call her a hoe http://t.co/npX7GLtMst
9535,"I really just did some hoe shyt, but just so u know im only a hoe for mr."
9536,I really just wanna brake your fucking head in but I'll look like a bitch if hit you.....
9537,I really just want to kill some towel head terrorists already &#128530; can high school be over now please?
9538,I really think ppl defending Cassidy throw on Hotel at the crib when bitches are comin over
9539,"I really wanna have a talk about life with the ""fuck her right in the pussy"" dude while smokin a blunt before I die"
9540,I really wish I owned a rocket launcher to use on every retard driving in front of me today #roadrage
9541,Damn bitches are always talking shit about Draya!
9542,I refuse to raise a child in this bitch ass country.
9543,Had this bitch you couldn't tell me SHIT bruh http://t.co/Kz3eiJ4Ugm
9544,"I remember me &amp; duddy was arguing &amp; he gon say ""shut up bitch that's why you raped me !!!"" &#128514;&#128557;&#128514;&#128557; just childish"
9545,I remember them bitches lmaoo
9546,I remember when Milz drunk ass fell asleep while we where all playing Gears smh. What a fag
9547,I remember when bitches wouldnt let a nigga fuck for like 3 months now its 3 days or so
9548,"I remember when it was ""watch out for her, she has cooties!"" Now, it's ""stay away from that hoe, she has herpes."""
9549,I remember when this lil bitch caught me slippin n had me get ina car an 2 mins later I'm lookin at this nigga holdin a gun in my face.
9550,"I respect any nigga that tell me he got a bitch , so I fall the fuck back no hating &#128175;"
9551,"I ride around with #notint, so all them bitches can see me &#128526;&#128522;&#128129; #JetLife &#9992;&#65039;"
9552,I roll a blunt better than the bitches in Havana ! Cause I'm the king round here !
9553,I said middle school days as in the ghetto way people... &#8212; and what I am nor here to impress you what are you go... http://t.co/qYpvIKcRfY
9554,I salute to the hoes who kno they places... other than that bitches miss me
9555,I saw so many basic bitches just picking up my school schedule I kinda wanted to throw up tbh.
9556,I say K.Michelle is manly because she doesn't act like a lady.She's too foul at the mouth and violent.I'll have to beat the bitch.
9557,I say fuck them other niggas bitch im all you need &#128074;
9558,I say smash the panomera I buy a new one hoe
9559,I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad
9560,I see a real nicca when I look in the mirror
9561,"I see bitches ain't been doing nun, but trotin &amp; thotin &#128514;"
9562,I see the same hoes
9563,I see thru all you fake bitches &amp; niggas.
9564,I see u jigga!!!! Hillary $wankin
9565,I see you fuck bitches. I fuck bitches also.
9566,Von kick me to the curb I should call n curse her ass out
9567,I seen Scooby hoe some niggas at the gardens too &#128514;&#128514;&#128514;
9568,"I shoot at the pussy, I bust in the pussy I'm cuming too sooooooooooon"
9569,I shot a stripper because hoes keep stealing my tacos. http://t.co/tq1iEs1JLg
9570,I should be in jail it's a crime hoe I kill these beats
9571,I should be the only nigga my bitch texting right now&#128175;&#128175;&#128175;&#128175;&#128175;
9572,I should gt a scurl on.deez hoes
9573,"I should probs shave my spic stash soon, its kinda getting out of hand"
9574,I should've fought you when I was over there if only I was myself and I haven't popped that talking about u only need two hits bitch please
9575,I should've thrown a whole roll of pennies and made her month that bitch.
9576,I show do like The Jeffersons. Dat George make me wanna open up a dry cleaning stow and call all da white folk honkey
9577,I show love to everybody not on joe time i just hate stuck up people thats hoe shit
9578,I slam duunkk hoes cuz I can't lay up
9579,I slept good thenna bitch tho
9580,"I smell I smell I smell, pussy"
9581,"I smoke a fat pound of grass, and fall on my ass, faster than the fat bitch who sat down to fast."
9582,I smoke a lot of weed to keep them bitches of ma mind
9583,I snorted shit with more girls in my presence than a dude lmao coke head bitches..
9584,I sound retarded but he is learning quickly! @tyler_yost http://t.co/4vqH4zBwml
9585,I spend my money on weed clothes n food not hoes
9586,I spent my whole 4th lookin for my hoes.. Missed the fireworks and all before I realized I didn't have any hoes.. #AllBad
9587,I spy a couple thirsty hoes on insta.
9588,I stalk my bf's insta and follow any girl that flirts with him. Scare the bitches
9589,I start Garfield Monday .. Yeahhhhhh lil bitch &#128526;&#128526;&#128526;&#128526;
9590,"I stay away from bitches that be insecure, I be wild'ning out in public say I'm immature."
9591,"I still can't get over some of these retards going ape shit over this iphone 5, makes no sense to me whats so ever."
9592,"I still hate the bitches at the #dmv #californiadmv, miserable hoes"
9593,I still see plenty basic bitches with iPhone 4s.
9594,I still think snap chat for faggots and High Schoolers
9595,I stopped snapping on women and calling them bitches.
9596,I support all of my niggaz and bitches doing dope shit on the west side and in my city LA
9597,I swear I care about everything else but these bitches &#128075;&#9996;&#65039;.
9598,I swear I got that shit that make the bitches go insane
9599,I swear I hate when Im somewhere and a woman catches my rubberband that clearly says KAPPA ALPHA PSI and ask me am I a kappa. Yes bitch lol
9600,I swear I heard that bitch creak
9601,I swear I needa go on n go back to the old me because bitches think its a game apparently. Let's be real !
9602,I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;
9603,I swear Newnan utilities be gettin a nicca .. Bout to start reading my own damn meter
9604,I swear a nicca sleep but im up .. Tired as fuk!
9605,I swear ain't nothing worse than a bad bitch that lost it
9606,I swear bitches is looney I like a pic ...&amp; I'm fucking that bitch&#128514;&#128514;&#128514;
9607,I swear bitches wouldn't have nothing to worry about but they don't know how to shut the fuck up.
9608,I swear dis hoe doinv this grown n sexy challenge look like a lightskinned gremlin.
9609,I swear females think they know me.... bitch you don't know my intentions you just think you do
9610,I swear girls with good pussy think that's the answer to everything
9611,I swear ion see how broke niccas still out here gettin pussy smh
